"SIMULATION1"
"PG","% PG"," PP","% PP"," PN","% PN","SC1"," PG","% PG"," PP","% PP"," PN","% PN","SC2"
"450","45","38","3,85","11","1,15","17","38","3,85","450","45","11","1,15","10"
"SIMULATION2"
"PG","% PG"," PP","% PP"," PN","% PN","SC1"," PG","% PG"," PP","% PP"," PN","% PN","SC2"
"452","45,25","38","3,8","9","0,95","17","38","3,8","452","45,25","9","0,95","11"
"SIMULATION1"
"PG","% PG"," PP","% PP"," PN","% PN","SC1"," PG","% PG"," PP","% PP"," PN","% PN","SC2"
"673","67,35","63","6,38","12","1,27","25","63","6,38","673","67,35","12","1,27","15"
"SIMULATION2"
"PG","% PG"," PP","% PP"," PN","% PN","SC1"," PG","% PG"," PP","% PP"," PN","% PN","SC2"
"685","68,53","53","5,35","11","1,12","26","53","5,35","685","68,53","11","1,12","16"
"SIMULATION1"
"PG","% PG"," PP","% PP"," PN","% PN","SC1"," PG","% PG"," PP","% PP"," PN","% PN","SC2"
"789","78,93","72","7,29","12","1,28","29","72","7,29","789","78,93","12","1,28","17"
"SIMULATION2"
"PG","% PG"," PP","% PP"," PN","% PN","SC1"," PG","% PG"," PP","% PP"," PN","% PN","SC2"
"789","78,92","67","6,78","18","1,81","30","67","6,78","789","78,92","18","1,81","19"
"SIMULATION1"
"PG","% PG"," PP","% PP"," PN","% PN","SC1"," PG","% PG"," PP","% PP"," PN","% PN","SC2"
"840","84,01","85","8,55","11","1,19","31","85","8,55","840","84,01","11","1,19","18"
"SIMULATION2"
"PG","% PG"," PP","% PP"," PN","% PN","SC1"," PG","% PG"," PP","% PP"," PN","% PN","SC2"
"842","84,26","76","7,69","18","1,8","32","76","7,69","842","84,26","18","1,8","20"
"SIMULATION1"
"PG","% PG"," PP","% PP"," PN","% PN","SC1"," PG","% PG"," PP","% PP"," PN","% PN","SC2"
"878","87,86","78","7,88","11","1,14","32","78","7,88","878","87,86","11","1,14","19"
"SIMULATION2"
"PG","% PG"," PP","% PP"," PN","% PN","SC1"," PG","% PG"," PP","% PP"," PN","% PN","SC2"
"867","86,73","81","8,15","20","2","33","81","8,15","867","86,73","20","2","21"
